CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeBand,AgeBand_Num,CreditTier,CreditTier_Num,TenureSegment,TenureSegment_Num,HasBalance,BalanceTier,BalanceTier_Num,SalaryTier,SalaryTier_Num,BalanceToSalaryRatio,SalaryBalanceMismatch,IsPremiumCustomer,ProductDepthIndex,ProductBreadth,IsMultiProduct,IsFullSuiteUser,CrCardStickiness,EngagementTier,EngagementTier_Num,ActiveAndMultiProduct,InactiveAndSingleProduct,RelationshipStrengthIndex,RSI_Band,RSI_Band_Num,HighBalanceDisengaged,IsStickyCustomer,SilentChurnRisk,ActiveRetained,InactiveChurned,RetentionRiskScore,RiskBand,RiskBand_Num,GeoChurnRate,GeoRiskIndex,AgeActivityScore,BalanceActivityScore,ProductTenureScore,CreditActiveScore,WealthEngagementGap,Geography_France,Geography_Germany,Geography_Spain,Gender_Male
619,France,Female,42,2,0.0,1,1,1,101348.88,1,36-45 (Gen-X),2,Fair,2,Early (1-3yr),1,0,Zero Balance,0,Upper-Mid,2,0.0,0,0,0.0,Single-Product,0,0,1,Active-Low-Product,1,0,0,5.4,Moderate,2,0,0,0,0,0,42.0,Low Risk,1,0.161548,16.1548,42,0.0,1.0986122886681098,619,0,1,0,0,0
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,36-45 (Gen-X),2,Fair,2,New (<1yr),0,1,Mid (50-100k),2,Upper-Mid,2,0.744677,0,0,0.0,Single-Product,0,0,0,Active-Low-Product,1,0,0,4.7,Moderate,2,0,0,0,1,0,40.5,Low Risk,1,0.166734,16.6734,41,83.8079,0.6931471805599453,608,0,0,0,1,0
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,36-45 (Gen-X),2,Poor,1,Loyal (6-9yr),3,1,Premium (150k+),4,Upper-Mid,2,1.401375,0,1,0.666667,Multi-Product,1,1,1,Inactive-High-Balance,3,0,0,4.1,Moderate,2,1,0,0,0,1,84.0,Very High Risk,4,0.161548,16.1548,0,0.0,6.591673732008658,0,0,1,0,0,0
699,France,Female,39,1,0.0,2,0,0,93826.63,0,36-45 (Gen-X),2,Good,3,New (<1yr),0,0,Zero Balance,0,Lower-Mid,1,0.0,0,0,0.333333,Dual-Product,1,0,0,Inactive-Disengaged,2,0,0,3.2,Weak,1,0,0,0,0,0,56.5,Moderate Risk,2,0.161548,16.1548,0,0.0,1.3862943611198906,0,0,1,0,0,0
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,36-45 (Gen-X),2,Exceptional,5,Early (1-3yr),1,1,High (100-150k),3,Lower-Mid,1,1.587055,0,0,0.0,Single-Product,0,0,1,Active-Low-Product,1,0,0,6.15,Strong,3,0,0,0,1,0,37.0,Low Risk,1,0.166734,16.6734,43,125.5108,1.0986122886681098,850,0,0,0,1,0
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,36-45 (Gen-X),2,Fair,2,Loyal (6-9yr),3,1,High (100-150k),3,High,3,0.759604,0,0,0.333333,Dual-Product,1,0,1,Inactive-Disengaged,2,0,0,6.35,Strong,3,0,0,0,0,1,39.0,Low Risk,1,0.166734,16.6734,0,0.0,4.394449154672439,0,1,0,0,1,1
822,France,Male,50,7,0.0,2,1,1,10062.8,0,46-55 (Mid-Career),3,Exceptional,5,Loyal (6-9yr),3,0,Zero Balance,0,Low,0,0.0,0,0,0.333333,Dual-Product,1,0,1,Active-Engaged,0,1,0,8.4,Very Strong,4,0,1,0,1,0,9.5,Very Low Risk,0,0.161548,16.1548,50,0.0,4.1588830833596715,822,0,1,0,0,1
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,26-35 (Millennial),1,Very Poor,0,Established (3-6yr),2,1,High (100-150k),3,Upper-Mid,2,0.963969,0,0,1.0,Full-Suite,1,1,1,Inactive-Disengaged,2,0,0,2.55,Weak,1,0,0,0,0,1,100.0,Very High Risk,4,0.324432,32.4432,0,0.0,6.437751649736401,0,0,0,1,0,0
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,36-45 (Gen-X),2,Poor,1,Established (3-6yr),2,1,High (100-150k),3,Lower-Mid,1,1.895518,0,1,0.333333,Dual-Product,1,0,0,Active-Engaged,0,1,0,7.55,Strong,3,0,0,0,1,0,6.0,Very Low Risk,0,0.161548,16.1548,44,142.0511,3.2188758248682006,501,0,1,0,0,1
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,26-35 (Millennial),1,Good,3,Early (1-3yr),1,1,High (100-150k),3,Lower-Mid,1,1.876647,0,1,0.0,Single-Product,0,0,1,Active-Low-Product,1,0,0,6.15,Strong,3,0,0,0,1,0,32.0,Low Risk,1,0.161548,16.1548,27,134.6039,1.0986122886681098,684,0,1,0,0,1
